15:46:09,716 2023/07/27	ASEL INIT NONE	
15:46:09,719 2023/07/27	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:26:24,924 2023/07/27	CALW INIT NONE	
16:26:24,927 2023/07/27	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:27:18,996 2023/07/27	WPSEL INIT NONE	
16:27:18,997 2023/07/27	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:27:55,042 2023/07/27	WPROT GOTO WP10	
16:27:55,045 2023/07/27	WPROT SIMULATED BUSY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:29:29,826 2023/07/27	WPROT GOTO WP1	
16:29:29,831 2023/07/27	WPROT SIMULATED BUSY 202.500 WP10 10, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
16:34:13,443 2023/07/27	WPROT GOTO WP10	
16:34:13,446 2023/07/27	WPROT SIMULATED BUSY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
