09:29:21.002 2023/08/07	GMIR GOTO 8.000000	
09:29:21.010 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 9.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:29:24.739 2023/08/07	GMIR GOTO 9.000000	
09:29:24.747 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 8.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:29:53.214 2023/08/07	GMIR GOTO 7.000000	
09:29:53.222 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 9.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:29:56.988 2023/08/07	GMIR GOTO 8.000000	
09:29:56.995 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 7.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:30:01.611 2023/08/07	GMIR GOTO 9.000000	
09:30:01.650 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 8.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:30:08.776 2023/08/07	GMIR GOTO 120.000000	
09:30:08.784 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 9.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:30:20.483 2023/08/07	GMIR GOTO 45.000000	
09:30:20.487 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:30:26.728 2023/08/07	GMIR GOTO 40.000000	
09:30:26.738 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 45.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:30:32.781 2023/08/07	GMIR GOTO 120.000000	
09:30:32.790 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 40.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:30:38.788 2023/08/07	GMIR GOTO 130.000000	
09:30:38.792 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 120.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:36:29.838 2023/08/07	WPSEL GOTO L/2	
09:36:29.846 2023/08/07	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 130.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:41:42.655 2023/08/07	ASEL GOTO ON	
09:41:42.663 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 130.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:42:06.499 2023/08/07	CALW GOTO SHUTTER	
09:42:06.505 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 130.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
09:44:02.490 2023/08/07	GMIR STOP NONE	
09:44:02.497 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 130.000 TARGET 1, GFOC SIMULATED READY 0.300 TARGET 1
	
