10:28:12.599 2023/08/09	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
10:28:12.602 2023/08/09	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
10:28:18.383 2023/08/09	GFOC INIT NONE, ASEL INIT NONE	
10:28:18.388 2023/08/09	WPROT SIMULATED BUSY 46.911 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 NONE -1
	
10:28:24.087 2023/08/09	WPSEL GOTO OFF	
10:28:24.092 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
10:31:55.376 2023/08/09	GMIR GOTO 45.000000	
10:31:55.381 2023/08/09	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED READY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 0.000 OFF 1, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:05:54.371 2023/08/09	WPSEL GOTO L/4, ASEL GOTO ON	
16:05:54.376 2023/08/09	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
16:11:10.287 2023/08/09	GFOC GOTO 0.000000	
16:11:10.339 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:11.513 2023/08/09	GFOC GOTO 0.000000	
16:11:11.521 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:12.765 2023/08/09	GFOC GOTO 0.000000	
16:11:12.774 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:14.130 2023/08/09	GFOC GOTO 0.000000	
16:11:14.218 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:15.344 2023/08/09	GFOC GOTO 0.000000	
16:11:15.350 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:16.485 2023/08/09	GFOC GOTO 0.000000	
16:11:16.493 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:17.787 2023/08/09	GFOC GOTO 0.000000	
16:11:17.809 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:19.009 2023/08/09	GFOC GOTO 0.000000	
16:11:19.017 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:20.174 2023/08/09	GFOC GOTO 0.000000	
16:11:20.384 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:21.785 2023/08/09	GFOC GOTO 0.000000	
16:11:22.000 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:23.325 2023/08/09	GFOC GOTO 0.000000	
16:11:23.595 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:11:24.917 2023/08/09	GFOC GOTO 0.000000	
