10:18:56.946 2023/08/10	WPSEL GOTO L/4	
10:18:56.953 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED READY 2.000 TARGET 1
	
10:19:10.243 2023/08/10	GFOC GOTO 5.000000	
10:19:10.376 2023/08/10	WPROT SIMULATED BUSY 142.993 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 2.000 TARGET 1
	
10:19:13.050 2023/08/10	GFOC GOTO 5.000000	
10:19:13.066 2023/08/10	WPROT SIMULATED BUSY 58.899 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 5.000 TARGET 1
	
10:20:01.107 2023/08/10	CALW GOTO DEPOLARIZER	
10:20:01.329 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED READY 5.000 TARGET 1
	
10:20:09.831 2023/08/10	GFOC GOTO 6.000000	
10:20:09.843 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 5.000 TARGET 1
	
10:20:11.672 2023/08/10	GFOC GOTO 6.000000	
10:20:11.764 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.000 TARGET 1
	
10:20:34.832 2023/08/10	GFOC GOTO 6.000000	
10:20:34.851 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.000 TARGET 1
	
10:29:23.542 2023/08/10	GFOC GOTO 6.000000	
10:29:23.566 2023/08/10	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 6.000 TARGET 1
	
11:17:09.439 2023/08/10	WPSEL GOTO OFF, CALW GOTO OFF, ASEL GOTO OFF	
