10:12:21.234 2023/08/18	WPSEL GOTO L/2, ASEL GOTO ON	
10:12:21.577 2023/08/18	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 8.700 TARGET 1
	
10:12:34.402 2023/08/18	GFOC GOTO 2.800000	
10:12:34.531 2023/08/18	WPROT SIMULATED BUSY 40.501 NONE -1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 8.700 TARGET 1
	
10:12:56.190 2023/08/18	WPSEL GOTO L/4	
10:12:56.194 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 2.800 TARGET 1
	
10:13:09.368 2023/08/18	GFOC GOTO 3.300000	
10:13:09.379 2023/08/18	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.800 TARGET 1
	
10:16:22.666 2023/08/18	CALW GOTO DEPOLARIZER	
10:16:22.780 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 3.300 TARGET 1
	
10:16:33.665 2023/08/18	GFOC GOTO 5.500000	
10:16:33.673 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 3.300 TARGET 1
	
10:16:50.084 2023/08/18	CALW GOTO OFF	
10:16:50.093 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 5.500 TARGET 1
	
10:17:25.221 2023/08/18	GFOC GOTO 0.000000	
10:17:25.377 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 5.500 TARGET 1
	
10:17:37.136 2023/08/18	GFOC GOTO 3.300000	
10:17:37.149 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
10:29:46.435 2023/08/18	WPSEL GOTO OFF, ASEL GOTO OFF	
10:29:46.442 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED BUSY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 3.300 TARGET 1
	
10:31:08.303 2023/08/18	WPSEL GOTO L/4, CALW GOTO DEPOLARIZER, ASEL GOTO ON	
10:31:08.313 2023/08/18	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 80.000 OFF 2, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED BUSY 0.000 OFF 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 3.300 TARGET 1
	
10:35:43.446 2023/08/18	GFOC GOTO 5.500000	
10:35:43.456 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 3.300 TARGET 1
	
10:36:43.175 2023/08/18	GFOC GOTO 10.000000	
10:36:43.278 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 5.500 TARGET 1
	
10:45:55.209 2023/08/18	GFOC GOTO 5.500000	
10:45:55.904 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 10.000 TARGET 1
	
10:54:52.755 2023/08/18	CALW GOTO POLARIZER	
10:54:53.032 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED BUSY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 5.500 TARGET 1
	
10:55:23.398 2023/08/18	GFOC GOTO 7.750000	
10:55:23.743 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 5.500 TARGET 1
	
10:56:02.722 2023/08/18	WPSEL GOTO L/2	
10:56:02.994 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 7.750 TARGET 1
	
11:00:14.665 2023/08/18	GFOC GOTO 6.600000	
11:00:15.038 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 7.750 TARGET 1
	
11:01:08.659 2023/08/18	WPSEL GOTO L/4	
11:01:08.669 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 6.600 TARGET 1
	
11:01:37.261 2023/08/18	GFOC GOTO 7.750000	
11:01:38.579 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 6.600 TARGET 1
	
11:01:48.580 2023/08/18	WPSEL GOTO L/2	
11:01:48.606 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED BUSY 0.000 L/4 1, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 7.750 TARGET 1
	
11:02:17.490 2023/08/18	GFOC GOTO 6.600000	
11:02:18.409 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 7.750 TARGET 1
	
11:03:25.930 2023/08/18	CALW GOTO OFF	
11:03:25.978 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 6.600 TARGET 1
	
11:03:44.895 2023/08/18	GFOC GOTO 2.800000	
11:03:45.496 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 6.600 TARGET 1
	
11:03:57.880 2023/08/18	CALW GOTO POLARIZER	
11:03:57.891 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 2.800 TARGET 1
	
11:04:25.066 2023/08/18	GFOC GOTO 6.600000	
11:04:25.395 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 2.800 TARGET 1
	
11:05:51.164 2023/08/18	CALW GOTO OFF	
11:05:51.194 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 72.000 POLARIZER 2, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 6.600 TARGET 1
	
11:06:13.775 2023/08/18	GFOC GOTO 2.800000	
11:06:14.270 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED BUSY 6.600 TARGET 1
	
11:06:27.510 2023/08/18	CALW GOTO POLARIZER	
11:06:27.793 2023/08/18	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED BUSY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 2.800 TARGET 1
	
11:08:26.182 2023/08/18	GFOC GOTO 6.600000	
