00:00:01.551 2023/09/07	WPROT GOTO WP11	
00:00:01.555 2023/09/07	WPROT SIMULATED BUSY 202.500 WP10 10, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:06.166 2023/09/07	WPROT GOTO WP12	
00:00:06.171 2023/09/07	WPROT SIMULATED BUSY 225.000 WP11 11, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:11.307 2023/09/07	WPROT GOTO WP13	
00:00:11.314 2023/09/07	WPROT SIMULATED BUSY 247.500 WP12 12, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:16.533 2023/09/07	WPROT GOTO WP14	
00:00:16.539 2023/09/07	WPROT SIMULATED BUSY 270.000 WP13 13, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:21.722 2023/09/07	WPROT GOTO WP15	
00:00:21.725 2023/09/07	WPROT SIMULATED BUSY 292.500 WP14 14, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:26.318 2023/09/07	WPROT GOTO WP16	
00:00:26.323 2023/09/07	WPROT SIMULATED BUSY 315.000 WP15 15, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:31.650 2023/09/07	WPROT GOTO WP1	
00:00:31.654 2023/09/07	WPROT SIMULATED BUSY 337.500 WP16 16, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:47.668 2023/09/07	WPROT GOTO WP2	
00:00:47.674 2023/09/07	WPROT SIMULATED BUSY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:53.367 2023/09/07	WPROT GOTO WP3	
00:00:53.373 2023/09/07	WPROT SIMULATED BUSY 22.500 WP2 2, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:00:58.495 2023/09/07	WPROT GOTO WP4	
00:00:58.502 2023/09/07	WPROT SIMULATED BUSY 45.000 WP3 3, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:01:03.612 2023/09/07	WPROT GOTO WP5	
00:01:03.620 2023/09/07	WPROT SIMULATED BUSY 67.500 WP4 4, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:01:08.741 2023/09/07	WPROT GOTO WP6	
00:01:08.744 2023/09/07	WPROT SIMULATED BUSY 90.000 WP5 5, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:01:13.954 2023/09/07	WPROT GOTO WP7	
00:01:13.962 2023/09/07	WPROT SIMULATED BUSY 112.500 WP6 6, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 288.000 DEPOLARIZER 5, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED READY 0.000 TARGET 1
	
00:01:19.104 2023/09/07	WPROT GOTO WP8	
