08:34:41,035 2024/03/28	CALW INIT NONE	
08:34:41,039 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:37:54,252 2024/03/28	ASEL INIT NONE	
08:37:54,253 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:42:40,143 2024/03/28	ASEL INIT NONE	
08:42:40,151 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:43:15,552 2024/03/28	ASEL INIT NONE	
08:43:15,554 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:43:42,737 2024/03/28	GMIR INIT NONE	
08:43:42,739 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED READY 0.000 TARGET 1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:48:05,528 2024/03/28	GMIR INIT NONE	
08:48:05,531 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:56:32,409 2024/03/28	GMIR INIT NONE	
08:56:32,410 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED BUSY 0.000 TARGET 1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:57:57,929 2024/03/28	ASEL INIT NONE	
08:57:57,931 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED NONE 0.000 NONE -1
	
08:58:43,155 2024/03/28	ASEL INIT NONE	
08:58:43,158 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED READY 0.000 TARGET 1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:38:29,882 2024/03/28	CALW INIT NONE	
09:38:29,885 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED NONE 0.000 NONE -1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:39:49,077 2024/03/28	WPSEL INIT NONE	
09:39:49,078 2024/03/28	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:40:15,369 2024/03/28	WPROT INIT NONE	
09:40:15,371 2024/03/28	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:41:46,207 2024/03/28	ASEL INIT NONE	
09:41:46,210 2024/03/28	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:45:47,630 2024/03/28	ASEL INIT NONE	
09:45:47,631 2024/03/28	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED READY 0.000 TARGET 1, ASEL SIMULATED BUSY 0.000 TARGET 1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
09:46:34,479 2024/03/28	ASEL INIT NONE	
