06:19:41,811 2024/03/30	WPSEL INIT NONE	
06:19:41,815 2024/03/30	WPROT SIMULATED NONE 0.000 NONE -1, WPSEL SIMULATED BUSY 0.000 NONE -1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:20:00,395 2024/03/30	WPROT INIT NONE	
06:20:00,396 2024/03/30	WPROT SIMULATED BUSY 0.000 NONE -1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED NONE 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:20:30,295 2024/03/30	CALW INIT NONE	
06:20:30,295 2024/03/30	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED BUSY 0.000 NONE -1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:21:54,662 2024/03/30	CALW INIT NONE	
06:21:54,663 2024/03/30	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED BUSY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:22:05,820 2024/03/30	CALW INIT NONE	
06:22:05,821 2024/03/30	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED BUSY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:24:06,875 2024/03/30	CALW INIT NONE	
06:24:06,876 2024/03/30	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED BUSY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:24:32,683 2024/03/30	CALW INIT NONE	
06:24:32,684 2024/03/30	WPROT SIMULATED READY 0.000 OFF 1, WPSEL SIMULATED READY 0.000 OFF 1, CALW SIMULATED BUSY 0.000 TARGET 1, ASEL SIMULATED NONE 0.000 NONE -1, GMIR SIMULATED NONE 0.000 NONE -1, GFOC SIMULATED NONE 0.000 NONE -1
	
06:25:06,539 2024/03/30	WPSEL INIT NONE	
